,date,open,high,low,close,volume
0,2023-02-17T16:00:00.000000Z,152.35,153.0,150.85,152.55,59144118
1,2023-02-16T16:00:00.000000Z,153.51,156.33,153.35,153.71,68167942
2,2023-02-15T16:00:00.000000Z,153.11,155.5,152.88,155.33,65669252
3,2023-02-14T16:00:00.000000Z,152.12,153.77,150.86,153.2,61707573
4,2023-02-13T16:00:00.000000Z,150.95,154.26,150.92,153.85,62199013
5,2023-02-10T16:00:00.000000Z,149.46,151.34,149.22,151.01,57450708
6,2023-02-09T16:00:00.000000Z,153.78,154.33,150.42,150.87,56007143
7,2023-02-08T16:00:00.000000Z,153.88,154.58,151.17,151.92,64120079
8,2023-02-07T16:00:00.000000Z,150.64,155.23,150.64,154.65,83322551
9,2023-02-06T16:00:00.000000Z,152.57,153.1,150.78,151.73,69858306
10,2023-02-03T16:00:00.000000Z,148.03,157.38,147.83,154.5,154357337
11,2023-02-02T16:00:00.000000Z,148.9,151.18,148.17,150.82,118338980
12,2023-02-01T16:00:00.000000Z,143.97,146.61,141.32,145.43,77663633
13,2023-01-31T16:00:00.000000Z,142.7,144.34,142.28,144.29,65874459
14,2023-01-30T16:00:00.000000Z,144.96,145.55,142.85,143.0,64015274
15,2023-01-27T16:00:00.000000Z,143.16,147.23,143.08,145.93,70555843
16,2023-01-26T16:00:00.000000Z,143.17,144.25,141.9,143.96,54105068
17,2023-01-25T16:00:00.000000Z,140.89,142.43,138.81,141.86,65799349
18,2023-01-24T16:00:00.000000Z,140.31,143.16,140.3,142.53,66435142
19,2023-01-23T16:00:00.000000Z,138.12,143.32,137.9,141.11,81760313
20,2023-01-20T16:00:00.000000Z,135.28,138.02,134.22,137.87,80223626
21,2023-01-19T16:00:00.000000Z,134.08,136.25,133.77,135.27,58280413
22,2023-01-18T16:00:00.000000Z,136.82,138.61,135.03,135.21,69672800
23,2023-01-17T16:00:00.000000Z,134.83,137.29,134.13,135.94,63646627
24,2023-01-13T16:00:00.000000Z,132.03,134.92,131.66,134.76,57809719
25,2023-01-12T16:00:00.000000Z,133.88,134.26,131.44,133.41,71379648
26,2023-01-11T16:00:00.000000Z,131.25,133.51,130.46,133.49,69458949
27,2023-01-10T16:00:00.000000Z,130.26,131.26,128.12,130.73,63896155
28,2023-01-09T16:00:00.000000Z,130.47,133.41,129.89,130.15,70790813
29,2023-01-06T16:00:00.000000Z,126.01,130.29,124.89,129.62,87754715
30,2023-01-05T16:00:00.000000Z,127.13,127.77,124.76,125.02,80962708
31,2023-01-04T16:00:00.000000Z,126.89,128.66,125.08,126.36,89113633
32,2023-01-03T16:00:00.000000Z,130.28,130.9,124.17,125.07,112117471
33,2022-12-30T16:00:00.000000Z,128.41,129.95,127.43,129.93,77034209
34,2022-12-29T16:00:00.000000Z,127.99,130.48,127.73,129.61,75703710
35,2022-12-28T16:00:00.000000Z,129.67,131.03,125.87,126.04,85438391
36,2022-12-27T16:00:00.000000Z,131.38,131.41,128.72,130.03,69007830
37,2022-12-23T16:00:00.000000Z,130.92,132.42,129.64,131.86,63814893
38,2022-12-22T16:00:00.000000Z,134.35,134.56,130.3,132.23,77852108
39,2022-12-21T16:00:00.000000Z,132.98,136.81,132.75,135.45,85927993
40,2022-12-20T16:00:00.000000Z,131.39,133.25,129.89,132.3,77432819
41,2022-12-19T16:00:00.000000Z,135.11,135.2,131.32,132.37,79592614
42,2022-12-16T16:00:00.000000Z,136.69,137.65,133.73,134.51,160156900
43,2022-12-15T16:00:00.000000Z,141.11,141.8,136.03,136.5,98931907
44,2022-12-14T16:00:00.000000Z,145.35,146.66,141.16,143.21,82291182
